,A-A(0.66V),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength (nm),V vs. RHE (iRu corrected),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1,1.01,1.02,1.03,1.04,1.05,1.06,1.07,1.08,1.09,1.1,1.11,1.12,1.13,1.14,1.15,1.16,1.17,1.18,1.19,1.2,1.21,1.22,1.23,1.24,1.25,1.26,1.27,1.28,1.29,1.3,1.31,1.32,1.33,1.34,1.35,1.36,1.37,1.38,1.39,1.4,1.41,1.42,1.43,1.44,1.45,1.46,1.47,1.48,1.49,1.5,1.51,1.52,1.53,1.54,1.55,1.56,1.57
453.92355,0,-3.74E-04,-5.05E-04,4.84E-03,0.012,0.012444444,5.77E-03,0.014666667,0.013444444,0.022555556,0.032111111,0.034111111,0.040666667,0.039888889,0.055333333,0.059888889,0.046333333,0.060222222,0.067666667,0.075333333,0.077111111,0.092444444,0.098888889,0.102666667,0.106,0.111666667,0.125888889,0.126555556,0.128555556,0.133444444,0.138555556,0.144666667,0.147888889,0.159,0.157444444,0.158333333,0.166,0.163111111,0.168777778,0.166777778,0.179666667,0.179,0.187444444,0.192777778,0.190888889,0.183555556,0.193333333,0.203444444,0.189555556,0.200666667,0.209,0.217333333,0.216555556,0.223222222,0.218888889,0.232222222,0.235,0.236777778,0.251666667,0.258333333,0.259333333,0.257333333,0.268111111,0.276444444,0.281666667,0.279777778,0.286444444,0.297111111,0.307555556,0.310222222,0.315777778,0.335111111,0.337222222,0.341333333,0.340777778,0.348888889,0.360555556,0.358777778,0.373666667,0.382444444,0.378777778,0.385777778,0.378,0.383666667,0.393888889,0.392333333,0.406444444,0.402111111,0.391,0.404888889,0.402333333,0.405222222
454.37689,0,3.07E-03,1.6E-03,6.02E-03,1.02E-02,0.013666667,3.98E-03,0.015,0.018888889,0.028222222,0.033333333,0.037111111,0.040333333,0.044333333,0.057444444,0.059222222,0.052,0.062222222,0.074888889,0.075111111,0.082333333,0.091,0.102888889,0.101444444,0.108222222,0.119111111,0.131,0.128555556,0.129666667,0.140555556,0.142666667,0.143555556,0.147111111,0.162222222,0.160555556,0.164111111,0.170444444,0.162555556,0.172888889,0.175888889,0.183555556,0.185666667,0.191,0.197666667,0.189444444,0.184555556,0.195444444,0.206777778,0.197333333,0.204444444,0.216222222,0.218555556,0.223555556,0.226,0.220111111,0.236222222,0.245111111,0.241666667,0.253888889,0.256555556,0.265666667,0.260888889,0.273666667,0.278,0.284111111,0.286,0.291222222,0.302111111,0.314222222,0.315666667,0.322555556,0.342,0.338111111,0.349666667,0.349444444,0.355111111,0.368666667,0.362,0.377222222,0.388777778,0.385222222,0.390333333,0.382555556,0.393111111,0.402777778,0.398333333,0.412444444,0.402777778,0.395,0.409111111,0.405666667,0.406777778
454.8302,0,2.98E-03,2.79E-03,5.74E-03,8.26E-03,0.014444444,5.48E-03,0.019,0.018888889,0.030555556,0.035777778,0.034444444,0.031,0.044444444,0.059555556,0.060111111,0.057777778,0.061111111,0.075666667,0.075333333,0.085666667,0.091666667,0.103444444,0.096444444,0.113,0.119888889,0.131333333,0.123777778,0.131888889,0.143333333,0.145888889,0.136777778,0.143222222,0.164111111,0.160555556,0.167555556,0.172666667,0.160555556,0.172,0.180111111,0.181777778,0.185555556,0.191555556,0.198444444,0.191222222,0.190222222,0.201888889,0.207111111,0.201777778,0.210444444,0.218333333,0.216777778,0.228333333,0.222888889,0.222666667,0.236555556,0.249777778,0.241111111,0.249222222,0.252444444,0.27,0.263666667,0.273777778,0.278333333,0.288555556,0.287555556,0.293222222,0.306333333,0.314444444,0.314777778,0.323444444,0.339666667,0.336333333,0.351555556,0.355555556,0.360222222,0.368888889,0.365888889,0.380111111,0.391555556,0.390555556,0.393333333,0.381888889,0.397333333,0.409666667,0.400777778,0.413222222,0.400333333,0.397555556,0.410555556,0.406333333,0.406
455.28349,0,7.1E-03,3.08E-03,1.08E-02,9.43E-03,0.016222222,7.79E-03,0.019,0.018333333,0.028555556,0.035777778,0.034666667,0.033333333,0.047555556,0.061888889,0.058444444,0.062666667,0.059777778,0.077666667,0.077,0.087333333,0.094666667,0.108222222,0.092777778,0.115555556,0.120222222,0.133111111,0.125777778,0.135555556,0.143444444,0.150222222,0.136888889,0.148,0.164777778,0.161666667,0.165444444,0.172444444,0.165,0.179444444,0.183444444,0.183555556,0.191666667,0.193777778,0.199,0.192888889,0.195222222,0.203666667,0.205666667,0.205333333,0.213222222,0.222444444,0.221666667,0.230888889,0.224888889,0.230333333,0.239333333,0.252666667,0.243555556,0.250333333,0.254333333,0.273,0.264111111,0.277888889,0.282888889,0.290444444,0.295,0.299666667,0.308111111,0.314888889,0.316333333,0.330555556,0.343222222,0.333888889,0.354111111,0.356111111,0.365333333,0.373666667,0.369888889,0.387444444,0.395444444,0.392,0.397222222,0.387333333,0.405333333,0.417666667,0.406555556,0.414888889,0.400888889,0.402111111,0.412,0.411,0.409444444
455.73675,0,9.35E-03,2.67E-03,1.08E-02,6.09E-03,0.016777778,0.013333333,0.016222222,0.018,0.023555556,0.033555556,0.033777778,0.033666667,0.048111111,0.060777778,0.055888889,0.066222222,0.063,0.078111111,0.081888889,0.089777778,0.095555556,0.107777778,0.100111111,0.117111111,0.120222222,0.130333333,0.124333333,0.136888889,0.141777778,0.153111111,0.137222222,0.148555556,0.166444444,0.159444444,0.166555556,0.173444444,0.169444444,0.178888889,0.184333333,0.183222222,0.196,0.194,0.199777778,0.191444444,0.196333333,0.206222222,0.203,0.209111111,0.214333333,0.222444444,0.222666667,0.230111111,0.224555556,0.235777778,0.240555556,0.251,0.245777778,0.249888889,0.252222222,0.270111111,0.263555556,0.276666667,0.283555556,0.291222222,0.299111111,0.302,0.308111111,0.314888889,0.317888889,0.330888889,0.343666667,0.334666667,0.356333333,0.358555556,0.365333333,0.376888889,0.373888889,0.387888889,0.391333333,0.390222222,0.395333333,0.386222222,0.406,0.421444444,0.407111111,0.411444444,0.404,0.407555556,0.409888889,0.415444444,0.408444444
456.18998,0,0.013444444,4.02E-03,0.011444444,8.92E-03,0.018666667,0.02,0.014444444,0.016888889,0.025777778,0.030888889,0.036777778,0.034333333,0.050444444,0.055666667,0.056,0.065444444,0.065,0.080555556,0.081444444,0.090777778,0.098333333,0.111111111,0.101555556,0.117444444,0.125,0.129777778,0.126,0.134555556,0.142111111,0.151888889,0.140111111,0.148111111,0.166555556,0.163777778,0.168222222,0.174333333,0.17,0.180444444,0.180555556,0.183555556,0.198555556,0.197888889,0.198222222,0.191666667,0.197666667,0.206888889,0.200333333,0.209777778,0.217333333,0.222333333,0.222555556,0.230333333,0.223222222,0.240444444,0.238444444,0.251444444,0.250888889,0.250666667,0.251444444,0.269222222,0.265333333,0.275333333,0.290222222,0.292888889,0.296111111,0.304,0.310333333,0.317666667,0.318333333,0.331444444,0.341222222,0.334555556,0.360222222,0.361,0.363555556,0.378222222,0.375777778,0.381888889,0.386333333,0.389888889,0.394888889,0.389444444,0.407111111,0.418777778,0.409111111,0.414111111,0.404333333,0.411888889,0.410444444,0.416666667,0.410666667
456.64319,0,0.015555556,1.07E-02,1.02E-02,1.09E-02,0.025,0.027777778,0.015666667,0.02,0.025111111,0.033111111,0.035333333,0.040555556,0.054222222,0.057111111,0.056555556,0.070777778,0.068,0.080666667,0.087555556,0.094,0.100111111,0.112777778,0.105,0.122444444,0.127,0.130666667,0.124777778,0.135666667,0.144111111,0.151444444,0.147333333,0.154,0.166666667,0.164444444,0.167777778,0.176555556,0.173222222,0.183,0.183333333,0.185111111,0.199111111,0.202555556,0.202777778,0.194666667,0.199444444,0.205888889,0.198666667,0.21,0.219111111,0.228888889,0.227333333,0.232666667,0.227333333,0.241333333,0.242888889,0.250777778,0.255333333,0.252111111,0.254111111,0.269555556,0.269222222,0.277444444,0.293666667,0.292666667,0.300444444,0.307,0.312888889,0.320111111,0.32,0.333888889,0.341555556,0.340777778,0.359,0.363333333,0.366,0.378,0.386,0.383888889,0.388444444,0.392555556,0.395444444,0.395444444,0.416,0.415111111,0.414888889,0.415888889,0.409777778,0.415222222,0.410222222,0.419222222,0.414888889
457.09637,0,0.013,8.78E-03,9.68E-03,1.08E-02,0.025444444,0.025,0.014,0.018222222,0.026444444,0.030666667,0.030888889,0.042888889,0.053777778,0.059777778,0.057666667,0.070444444,0.066222222,0.077111111,0.087777778,0.093444444,0.100222222,0.113555556,0.109666667,0.118444444,0.127888889,0.129333333,0.125666667,0.134444444,0.143777778,0.153666667,0.152111111,0.153888889,0.164666667,0.164666667,0.168,0.170111111,0.177,0.182777778,0.180888889,0.183777778,0.197888889,0.202555556,0.206,0.195,0.202666667,0.207,0.198555556,0.209111111,0.218666667,0.225111111,0.226666667,0.233111111,0.231888889,0.239666667,0.244333333,0.250111111,0.255777778,0.249555556,0.258444444,0.273666667,0.265666667,0.273777778,0.294777778,0.294222222,0.295666667,0.304555556,0.313666667,0.313888889,0.323777778,0.334666667,0.340333333,0.344666667,0.357444444,0.364,0.363666667,0.371,0.386333333,0.381222222,0.385777778,0.394111111,0.395,0.401444444,0.413888889,0.408333333,0.417222222,0.413333333,0.412111111,0.412111111,0.410666667,0.418666667,0.420333333
457.54952,0,0.013444444,0.013444444,0.011444444,0.015111111,0.027333333,0.028333333,0.014333333,0.022,0.033888889,0.031777778,0.034333333,0.048111111,0.059888889,0.064555556,0.062777778,0.073888889,0.067888889,0.080444444,0.090555556,0.097555556,0.103333333,0.112888889,0.114888889,0.119888889,0.132111111,0.129222222,0.135444444,0.136777778,0.145666667,0.154111111,0.157777778,0.157111111,0.167444444,0.171555556,0.177222222,0.172333333,0.184444444,0.184666667,0.185222222,0.187333333,0.200111111,0.208333333,0.207777778,0.202111111,0.204555556,0.210444444,0.203666667,0.210666667,0.219111111,0.226888889,0.227444444,0.236222222,0.238333333,0.243555556,0.245444444,0.251333333,0.261,0.251333333,0.262777778,0.277333333,0.269777778,0.279444444,0.297888889,0.296777778,0.299222222,0.302333333,0.315333333,0.312777778,0.328,0.334777778,0.342444444,0.351333333,0.358,0.367666667,0.368555556,0.374333333,0.388555556,0.385888889,0.391222222,0.397222222,0.402222222,0.410111111,0.412333333,0.405111111,0.414444444,0.417444444,0.419444444,0.414888889,0.415888889,0.423666667,0.423222222
458.00264,0,0.014555556,0.018777778,0.017,0.021555556,0.026777778,0.028888889,0.023444444,0.029,0.036777778,0.038444444,0.042666667,0.053555556,0.062777778,0.070222222,0.069555556,0.079444444,0.073333333,0.085333333,0.094111111,0.100888889,0.106111111,0.115666667,0.121444444,0.122222222,0.135,0.130666667,0.141222222,0.149111111,0.149888889,0.158777778,0.159555556,0.166666667,0.171333333,0.175777778,0.182111111,0.175,0.192555556,0.188222222,0.191111111,0.191666667,0.203555556,0.211333333,0.212444444,0.206,0.210111111,0.217555556,0.212111111,0.216666667,0.224555556,0.232555556,0.231777778,0.241111111,0.244444444,0.248444444,0.253666667,0.254888889,0.264555556,0.258444444,0.270333333,0.285555556,0.274,0.285666667,0.301666667,0.299111111,0.307,0.306,0.321,0.319888889,0.331555556,0.338777778,0.348444444,0.358111111,0.360666667,0.373888889,0.374333333,0.377111111,0.388555556,0.394444444,0.401777778,0.404555556,0.407888889,0.420444444,0.416555556,0.410888889,0.420888889,0.418111111,0.424777778,0.423444444,0.425333333,0.428888889,0.433444444
458.45574,0,9.06E-03,9.15E-03,9.16E-03,0.019333333,0.020333333,0.021777778,0.021222222,0.026111111,0.036777778,0.031666667,0.038777778,0.047555556,0.060555556,0.063,0.067444444,0.074222222,0.071888889,0.079888889,0.086111111,0.094666667,0.101888889,0.110888889,0.117222222,0.117555556,0.134777778,0.129111111,0.144333333,0.149666667,0.149666667,0.155444444,0.157222222,0.163,0.172555556,0.172888889,0.182444444,0.174,0.189,0.182666667,0.188777778,0.190777778,0.199,0.211333333,0.207777778,0.206444444,0.208444444,0.214111111,0.214777778,0.215222222,0.221111111,0.227666667,0.224333333,0.233666667,0.239888889,0.246,0.25,0.250222222,0.265,0.257666667,0.271333333,0.281,0.275555556,0.282555556,0.297777778,0.295111111,0.301888889,0.303222222,0.317444444,0.315666667,0.325666667,0.331111111,0.342111111,0.361888889,0.353333333,0.373666667,0.369555556,0.374111111,0.384222222,0.391777778,0.399222222,0.399111111,0.406888889,0.417777778,0.409222222,0.408222222,0.421888889,0.413555556,0.421777778,0.426555556,0.423888889,0.424888889,0.429555556
458.90882,0,0.011666667,1.07E-02,5.98E-03,0.019444444,0.016888889,0.021333333,0.020888889,0.031777778,0.040333333,0.037111111,0.039,0.050888889,0.058111111,0.061222222,0.068,0.074111111,0.074444444,0.082888889,0.086444444,0.098888889,0.098,0.109777778,0.117555556,0.114555556,0.136555556,0.130222222,0.146111111,0.154444444,0.154777778,0.159333333,0.160444444,0.162777778,0.178111111,0.175111111,0.186111111,0.175111111,0.192222222,0.186888889,0.189111111,0.195888889,0.196111111,0.208888889,0.207444444,0.206888889,0.214,0.215222222,0.218888889,0.22,0.224777778,0.231333333,0.224888889,0.232888889,0.240555556,0.245666667,0.25,0.255111111,0.267444444,0.264666667,0.275222222,0.279777778,0.280111111,0.285777778,0.297,0.296444444,0.302222222,0.308222222,0.320111111,0.315444444,0.328222222,0.334,0.341888889,0.359222222,0.356222222,0.377,0.371333333,0.378555556,0.381333333,0.388666667,0.402222222,0.405888889,0.401666667,0.421888889,0.408888889,0.413111111,0.420777778,0.413666667,0.418777778,0.431777778,0.431555556,0.424333333,0.431333333
459.36186,0,1.04E-02,0.011777778,6.4E-03,0.016777778,0.015,0.021555556,0.024888889,0.033444444,0.041333333,0.038222222,0.036666667,0.048777778,0.055777778,0.060888889,0.070444444,0.074777778,0.074222222,0.079,0.083444444,0.101,0.099888889,0.109777778,0.117444444,0.111777778,0.133444444,0.129555556,0.145555556,0.158222222,0.153666667,0.162222222,0.160111111,0.161777778,0.181666667,0.175444444,0.189333333,0.178555556,0.194111111,0.187555556,0.189111111,0.198555556,0.190888889,0.203555556,0.204555556,0.21,0.222111111,0.219777778,0.22,0.219222222,0.226,0.230888889,0.225222222,0.233,0.237444444,0.247333333,0.248222222,0.252444444,0.268333333,0.264444444,0.274666667,0.276888889,0.285888889,0.288333333,0.295666667,0.299444444,0.303777778,0.310777778,0.318888889,0.315888889,0.324888889,0.338666667,0.344111111,0.357111111,0.354111111,0.376555556,0.371777778,0.381444444,0.380777778,0.389111111,0.405444444,0.407888889,0.401777778,0.418,0.402888889,0.415111111,0.421222222,0.413555556,0.417222222,0.432,0.430555556,0.428111111,0.432111111
459.81488,0,8.78E-03,0.013,6.31E-03,0.013777778,0.013555556,0.018222222,0.021444444,0.030111111,0.038,0.036555556,0.039444444,0.047888889,0.052,0.058,0.065,0.072666667,0.074222222,0.076666667,0.082333333,0.101666667,0.095777778,0.109222222,0.113111111,0.113333333,0.129111111,0.125,0.150555556,0.153888889,0.152555556,0.160777778,0.161222222,0.163111111,0.183222222,0.174777778,0.185777778,0.182222222,0.196333333,0.192111111,0.188333333,0.197222222,0.188111111,0.199555556,0.201111111,0.210555556,0.221888889,0.215111111,0.220222222,0.218777778,0.225222222,0.226777778,0.228666667,0.227777778,0.238111111,0.248444444,0.244555556,0.251222222,0.264444444,0.266666667,0.272777778,0.275,0.285,0.288,0.293777778,0.298888889,0.304777778,0.314888889,0.313666667,0.317111111,0.320444444,0.341,0.345888889,0.351444444,0.353333333,0.370777778,0.369888889,0.386444444,0.376888889,0.391333333,0.406555556,0.413111111,0.400888889,0.417888889,0.401888889,0.416444444,0.422666667,0.413666667,0.417888889,0.430666667,0.427888889,0.432666667,0.433666667
460.26788,0,6.15E-03,0.013111111,8.31E-03,0.012111111,0.013222222,0.019222222,0.016,0.030444444,0.034666667,0.034444444,0.039666667,0.050444444,0.047222222,0.052444444,0.060222222,0.067,0.078333333,0.075222222,0.083222222,0.102222222,0.093333333,0.104777778,0.115555556,0.114222222,0.128,0.123666667,0.146444444,0.151444444,0.153555556,0.160444444,0.164,0.160888889,0.183,0.175777778,0.182666667,0.188888889,0.195888889,0.191,0.183888889,0.198,0.187777778,0.198222222,0.203888889,0.210888889,0.218,0.211444444,0.215555556,0.220444444,0.224,0.226444444,0.228888889,0.223888889,0.236333333,0.249111111,0.243444444,0.248444444,0.263111111,0.266444444,0.272222222,0.271111111,0.286333333,0.289111111,0.290888889,0.296888889,0.304444444,0.315222222,0.313888889,0.319888889,0.321,0.337,0.348222222,0.351444444,0.353666667,0.370444444,0.366222222,0.392555556,0.374666667,0.390111111,0.399444444,0.411333333,0.399222222,0.414222222,0.399555556,0.416333333,0.417888889,0.412,0.413888889,0.427777778,0.426777778,0.434666667,0.425777778
