Gaussian,Reference Spectrum,Variable,Optimized
1,1.06,center,0.8532054491784371
1,1.06,width,0.8774573633737743
1,1.06,amplitude,0.1428242553582181
2,1.36,center,0.3039606771065475
2,1.36,width,1.2860098222450187
2,1.36,amplitude,0.10350004255943325
3,1.51,center,0.4776999054459732
3,1.51,width,1.4438494807208202
3,1.51,amplitude,0.045422814831452024
