,A-A(0.66V),,
Wavelength (nm),Gaussian number,,
,1,2,3
450.29587,0.00668735413801923,0.021763551657217984,0.00625530318791396
450.74942,0.00681207005851982,0.021487520638340588,0.006842872695767785
451.20295,0.0068421739120764985,0.021564010777559938,0.006601263160881422
451.65645,0.006863676636970596,0.02048459289278628,0.007382638099434181
452.10992,0.007014195866049044,0.019344614849728974,0.008335116697971405
452.56337,0.007022796956006684,0.01903246700963112,0.009433457332949565
453.01679,0.007143212370233398,0.01830535076993942,0.00860443680779322
453.47018,0.007113108516676719,0.019479426970134044,0.007076751932786266
453.92355,0.006953988197640631,0.018937896590019276,0.008834961185595614
454.37689,0.007104507426719081,0.019338471106619758,0.008553847784219554
454.8302,0.0070356986296480845,0.01980574918021047,0.008707207816329433
455.28349,0.007104507426719081,0.020643409668627606,0.008177046275583867
455.73675,0.007091605753077678,0.020758210613584807,0.008183489584088313
456.18998,0.007104507426719081,0.02078840269719087,0.008455743650223797
456.64319,0.007164715095127494,0.020905134736656738,0.009068812109486134
457.09637,0.007113108516676719,0.021273717492894844,0.00925391895519125
457.54952,0.007250726072113766,0.020647271712695647,0.008891373442292006
458.00264,0.007418447519812438,0.020514171173784457,0.009411146504921038
458.45574,0.00738404312127694,0.01942474752000156,0.011454002538447649
458.90882,0.007581868383827344,0.018969405983694135,0.01081932554707336
459.36186,0.007685081579433838,0.019247192631696625,0.0099053768705498
459.81488,0.0076334749622781195,0.01986951353232307,0.009531550295542413
460.26788,0.007663578815834798,0.01907604452145896,0.009635142036178539
460.72084,0.0076592782708559785,0.01858871122478916,0.01033437773910265
461.17378,0.007624873872320481,0.01816988098058058,0.011033304635468671
461.6267,0.007586168928806164,0.01833304216717746,0.0125426863135216
462.07958,0.007702283759349116,0.01749919983831446,0.013591885497562298
462.53244,0.007999021672527194,0.01710617390813047,0.01406495671437842
462.98527,0.008054928795956788,0.01689868980806021,0.014131660700313934
463.43808,0.008222650204950516,0.01738181047429745,0.012804396843202958
463.89086,0.008334464490514648,0.01765555979413366,0.012325578300333737
464.34361,0.008338765035493467,0.01779853432173109,0.012518148186328423
464.79634,0.008532289753065051,0.017888935795970982,0.011469136340882025
465.24904,0.008652705167291766,0.017216191941990505,0.011468608036884133
465.70171,0.008648404583608004,0.017236334915929366,0.011722437989465286
466.15435,0.008510787028170956,0.01786278069612857,0.011933137299697668
466.60697,0.008502185938213318,0.01812055598739787,0.011025842950737639
467.05957,0.008609699640093687,0.019103165819317692,0.010015089155257855
467.51213,0.008786022177749996,0.018222938028384265,0.010428341763559116
467.96467,0.00861400022377745,0.01893802965369825,0.009764562194347971
468.41718,0.008480683174614277,0.018166897746239734,0.011596653665423064
468.86967,0.008519388118128595,0.018293722943004007,0.012813897456800335
469.32212,0.00843767768612114,0.019057043392205313,0.011960879814276232
469.77456,0.008506486483192136,0.018607889284067678,0.012539222646563564
470.22696,0.008325863400557009,0.01916390126169961,0.012924528411421773
470.67934,0.008325863400557009,0.01943576335337303,0.012338066847549343
471.13169,0.008459180449720181,0.01902882592505118,0.01275084817546234
471.58401,0.008570994696579369,0.019646934195245082,0.011401916272150425
472.03631,0.008880634244693908,0.0185953828286904,0.01152300674742318
472.48858,0.0087301150543204,0.018738532640386097,0.011347042437935523
472.94083,0.008915038643229406,0.017636777833492167,0.01246068678383203
473.39304,0.00898814798527922,0.018128060725636472,0.012801280699197925
473.84523,0.008970945805363941,0.018752356405832175,0.011754291604554391
474.2974,0.009061257327329035,0.018836833486860296,0.012377689380307137
474.74953,0.008897836463314128,0.01947539126972637,0.011673460421931757
475.20164,0.009069858417286674,0.01977525182305909,0.01092581294349675
475.65373,0.009035454018751176,0.020208256437246244,0.01002722092235163
476.10578,0.009065557872307855,0.02115470556343172,0.008008718065826924
476.55781,0.009246180954942982,0.0207618110691681,0.008004734894530421
477.00981,0.009314989752013978,0.02056639508725079,0.008175990124087745
477.46179,0.009388099094063794,0.019499001291166905,0.009343857919603293
477.91374,0.009431104582556929,0.019460690503597056,0.00952965139165933
478.36566,0.0095515199580787,0.018715450316620263,0.010420158940082637
478.81756,0.009659033698664013,0.01734192096945939,0.012467459588210005
479.26942,0.009560121048036338,0.017533343489556284,0.012254162350500022
479.72127,0.0095515199580787,0.017338015240330778,0.012447227372774258
480.17308,0.00965043257000143,0.016983475418150894,0.01258289436395581
480.62487,0.009616028171465932,0.017960204541919534,0.011140455231309404
481.07663,0.00970203918715715,0.017811086271212886,0.010190462550462727
481.52836,0.009693438058494567,0.018467593061668428,0.008916162512815646
481.98007,0.009590224901593017,0.01824417861809183,0.009140141832591087
482.43175,0.009676235878579291,0.018711281552533616,0.008468958678878868
482.8834,0.009611727626487113,0.018270333717934246,0.01010783336287614
483.33503,0.009577323227951616,0.01814148985708682,0.010388000827144545
483.78663,0.009555820503057519,0.018695307523966715,0.009862636719098095
484.2382,0.00969773864217833,0.018175587832938808,0.010420179224411952
484.68975,0.009917066629622832,0.017800773782185017,0.011169532340495343
485.14127,0.009813853472721281,0.018374821811292925,0.011310269641010737
485.59276,0.009904164994686375,0.018278057443499657,0.01045187269314108
486.04423,0.009929968303264234,0.01909965617065812,0.009362964119704865
486.49567,0.010041782550123422,0.018775308776486938,0.01007457708107033
486.94708,0.01023960785137877,0.018356215479152314,0.010664689783755557
487.39846,0.01034712155325914,0.01772577623713272,0.011149486801466659
487.84982,0.010398728170414859,0.016904089595997165,0.011999662772720564
488.30115,0.010609455067901723,0.016623933679379,0.01130855205287645
488.75245,0.010863187492586664,0.015961107861715996,0.011911963763058312
489.20373,0.0109061929810798,0.01672025954683065,0.010994976761201015
489.65498,0.010828783094051166,0.016810967922374468,0.011746837798602479
490.1062,0.010807280330452126,0.01796288250271507,0.01070350379324089
490.5574,0.010867488037565484,0.018659586964500603,0.009719822876258959
491.00857,0.010897591891122162,0.01860920804060978,0.010538603446566569
491.45971,0.010953499014551756,0.018474220617938457,0.010495194378906506
491.91083,0.010987903413087254,0.01825870554659618,0.010521140422650947
492.36192,0.01106101275513707,0.01702819459337863,0.011676454199529344
492.81298,0.010987903413087254,0.01769685707156161,0.010485130677191092
493.26401,0.010970701194467034,0.01754181458892852,0.010556778565484017
493.71502,0.011069613845094707,0.017730999095044817,0.00960629074835781
494.166,0.010983602868108434,0.017608254929675396,0.010860745375805083
494.61696,0.010845985273966444,0.018941542720992386,0.010258151168561661
495.06788,0.010949198469572936,0.018548735796303235,0.010210901177406374
495.51878,0.010897591891122162,0.01819235259413846,0.01171406057852441
495.96966,0.010996504503044895,0.01760219910054328,0.011621901664800025
496.4205,0.01103090890158039,0.01718731845180922,0.011798811969695837
496.87132,0.011138422642165703,0.016701872220184884,0.011542767913170732
497.32211,0.011086816025009986,0.01716107596367765,0.01063577185119589
497.77288,0.011168526495722381,0.01701397619393684,0.01044436852522238
498.22362,0.011366351758272787,0.01657675878619981,0.010584778724044423
